unit_no,unit_title,page_range,subtopic_title,activity_type,page_no,learning_outcome_snippet
1,Mathematics,1-87,Concept of matching the shapes,Introduction,72,Concept of matching the shapes
1,Mathematics,1-87,Identification of solid shapes.,Identification,73,Identification of solid shapes.
1,Mathematics,1-87,Introduction of the flat shapes,Introduction,74,Introduction of the flat shapes
1,Mathematics,1-87,Introduction of the shapes,Introduction,75,Introduction of the shapes
1,Mathematics,1-87,Review of the shapes,Review,76,Review of the shapes
1,Mathematics,1-87,Concept of matching the shapes,Introduction,77,Concept of matching the shapes
1,Mathematics,1-87,Review of the flat shapes,Review,78,Review of the flat shapes
1,Mathematics,1-87,Identification of different objects,Identification,79,Identification of different objects
1,Mathematics,1-87,Concept of number spellings 1- 10,Introduction,80,Concept of number spellings 1- 10
1,Mathematics,1-87,Identification of number spellings 1-10,Identification,81,Identification of number spellings 1-10
1,Mathematics,1-87,Practice and review of number spellings 1-10,Review,82,Practice and review of number spellings 1-10
1,Mathematics,1-87,Introduction of time,Introduction,83,Introduction of time
1,Mathematics,1-87,Introduction of time,Introduction,84,Introduction of time
1,Mathematics,1-87,Introduction of days of the week,Introduction,85,Introduction of days of the week
1,Mathematics,1-87,Introduction of days of the week,Introduction,86,Introduction of days of the week
1,Mathematics,1-87,Introduction of Months,Introduction,87,Introduction of Months
