unit_no,unit_title,page_range,subtopic_title,activity_type,page_no,learning_outcome_snippet
1,Mathematics,1-78,"Introduction of number '1' and '2', it's value and shape",Introduction,1,"Introduction of number '1' and '2', it's value and shape"
1,Mathematics,1-78,"Introduction of number '3' and '4', it's value and shape",Introduction,2,"Introduction of number '3' and '4', it's value and shape"
1,Mathematics,1-78,"Introduction of number '5' and '6', it's value and shape",Introduction,3,"Introduction of number '5' and '6', it's value and shape"
1,Mathematics,1-78,"Concept of ""small"" and ""big""",Introduction,4,"Concept of ""small"" and ""big"""
1,Mathematics,1-78,"Introduction of ""water set"" and ""tea set""",Introduction,5,"Introduction of ""water set"" and ""tea set"""
1,Mathematics,1-78,Introduction and identification of Red colour,Introduction,6,Introduction and identification of Red colour
1,Mathematics,1-78,"Introduction of number '7' and '8', it's value and shape",Introduction,7,"Introduction of number '7' and '8', it's value and shape"
1,Mathematics,1-78,"Introduction of number '9' and '0', it's value and shape",Introduction,8,"Introduction of number '9' and '0', it's value and shape"
1,Mathematics,1-78,Practice of counting in sequence,Practice,9,Practice of counting in sequence
1,Mathematics,1-78,Review of counting in sequence 1-9,Review,10,Review of counting in sequence 1-9
1,Mathematics,1-78,Practice and review of numbers (0 to 9),Review,11,Practice and review of numbers (0 to 9)
1,Mathematics,1-78,"Review of numbers 1-9, it's value and shape",Review,12,"Review of numbers 1-9, it's value and shape"
1,Mathematics,1-78,Introduction and identification of Yellow colour,Introduction,13,Introduction and identification of Yellow colour
1,Mathematics,1-78,"Introduction of two digit numbers (10,11,12)",Introduction,14,"Introduction of two digit numbers (10,11,12)"
1,Mathematics,1-78,"Concept of ""light"" and ""heavy""",Introduction,15,"Concept of ""light"" and ""heavy"""
1,Mathematics,1-78,"Introduction of ""sofa set"" and ""tool set""",Introduction,16,"Introduction of ""sofa set"" and ""tool set"""
1,Mathematics,1-78,Introduction and identification of Blue colour,Introduction,17,Introduction and identification of Blue colour
1,Mathematics,1-78,"Introduction of two digit numbers (13,14,15)",Introduction,18,"Introduction of two digit numbers (13,14,15)"
1,Mathematics,1-78,"Introduction of two digit numbers (16,17,18)",Introduction,19,"Introduction of two digit numbers (16,17,18)"
1,Mathematics,1-78,"Concept of ""short"" and ""tall""",Introduction,20,"Concept of ""short"" and ""tall"""
1,Mathematics,1-78,"Introduction of ""dinner set"" and ""jewellary set""",Introduction,21,"Introduction of ""dinner set"" and ""jewellary set"""
