unit_no,unit_title,page_range,subtopic_title,activity_type,page_no,learning_outcome_snippet
1,Mathematics,1-80,Writing skill development through eye-hand coordination,Introduction,1,Writing skill development through eye-hand coordination
1,Mathematics,1-80,Writing skill development through eye-hand coordination,Introduction,2,Writing skill development through eye-hand coordination
1,Mathematics,1-80,Writing skill development through eye-hand coordination,Introduction,3,Writing skill development through eye-hand coordination
1,Mathematics,1-80,Writing skill development through eye-hand coordination,Introduction,4,Writing skill development through eye-hand coordination
1,Mathematics,1-80,Writing skill development through eye-hand coordination,Introduction,5,Writing skill development through eye-hand coordination
1,Mathematics,1-80,Writing skill development through eye-hand coordination,Introduction,6,Writing skill development through eye-hand coordination
1,Mathematics,1-80,"Introduction of number ""1"" it's value and shape",Introduction,7,"Introduction of number ""1"" it's value and shape"
1,Mathematics,1-80,"Identification of number ""1"" and it's value",Identification,8,"Identification of number ""1"" and it's value"
1,Mathematics,1-80,"Introduction of number ""2"" it's value and shape",Introduction,9,"Introduction of number ""2"" it's value and shape"
1,Mathematics,1-80,"Identification of number ""2"" and it's value",Identification,10,"Identification of number ""2"" and it's value"
1,Mathematics,1-80,"Introduction of number ""3"" it's value and shape",Introduction,11,"Introduction of number ""3"" it's value and shape"
1,Mathematics,1-80,"Identification of number ""3"" and it's value",Identification,12,"Identification of number ""3"" and it's value"
1,Mathematics,1-80,Practice and Review of number and value,Review,13,Practice and Review of number and value
1,Mathematics,1-80,"Concept of ""small"" and ""big""",Introduction,14,"Concept of ""small"" and ""big"""
1,Mathematics,1-80,"Introduction of number ""4"" it's value and shape",Introduction,15,"Introduction of number ""4"" it's value and shape"
1,Mathematics,1-80,"Identification of number ""4"" and it's value",Identification,16,"Identification of number ""4"" and it's value"
1,Mathematics,1-80,"Introduction of number ""5"" it's value and shape",Introduction,17,"Introduction of number ""5"" it's value and shape"
1,Mathematics,1-80,"Identification of number ""5"" and it's value",Identification,18,"Identification of number ""5"" and it's value"
1,Mathematics,1-80,"Introduction of number ""6"" it's value and shape",Introduction,19,"Introduction of number ""6"" it's value and shape"
1,Mathematics,1-80,"Identification of number ""6"" and it's value",Identification,20,"Identification of number ""6"" and it's value"
1,Mathematics,1-80,Practice and Review of number and value,Review,21,Practice and Review of number and value
1,Mathematics,1-80,"Concept of ""light"" and ""heavy""",Introduction,22,"Concept of ""light"" and ""heavy"""
1,Mathematics,1-80,"Introduction of number ""7"" it's value and shape",Introduction,23,"Introduction of number ""7"" it's value and shape"
1,Mathematics,1-80,"Identification of number ""7"" and it's value",Identification,24,"Identification of number ""7"" and it's value"
1,Mathematics,1-80,"Introduction of number ""8"" it's value and shape",Introduction,25,"Introduction of number ""8"" it's value and shape"
1,Mathematics,1-80,"Identification of number ""8"" and it's value",Identification,26,"Identification of number ""8"" and it's value"
1,Mathematics,1-80,"Review of number, value and shape",Review,27,"Review of number, value and shape"
1,Mathematics,1-80,"Introduction of number ""9"" it's value and shape",Introduction,28,"Introduction of number ""9"" it's value and shape"
1,Mathematics,1-80,"Identification of number ""9"" and it's value",Identification,29,"Identification of number ""9"" and it's value"
1,Mathematics,1-80,Practice and Review of number and value,Review,30,Practice and Review of number and value
